,channel,position,unit
638,0,51442,[37]
639,0,51668,[5]
640,0,51784,[29]
641,0,51866,[42]
642,0,51994,[24]
643,0,52044,[28]
644,0,52240,[29]
645,0,52295,[27]
646,0,52343,[39]
647,0,52368,[46]
648,0,52421,[42]
649,0,52498,[11]
650,0,52522,[28]
651,0,52608,[14]
652,0,52639,[15]
653,0,52694,[14]
654,0,52803,[39]
655,0,52831,[36]
656,0,52907,[24]
657,0,53106,[0]
658,0,53184,[33]
659,0,53217,[37]
660,0,53273,[35]
661,0,53360,[27]
662,0,53442,[21]
663,0,53497,[11]
664,0,53656,[35]
665,0,53687,[40]
666,0,53826,[24]
667,0,53901,[23]
668,0,53946,[13]
669,0,54007,[36]
670,0,54128,[26]
671,0,54169,[40]
672,0,54227,[23]
673,0,54257,[42]
674,0,54298,[26]
675,0,54335,[28]
676,0,54360,[33]
677,0,54410,[14]
678,0,54446,[11]
679,0,54474,[39]
680,0,54599,[26]
681,0,54644,[44]
682,0,54827,[46]
683,0,54851,[12]
684,0,54895,[26]
685,0,54930,[40]
686,0,54966,[38]
687,0,54982,[24]
688,0,55085,[32]
689,0,55103,[9]
690,0,55178,[48]
691,0,55265,[39]
692,0,55284,[20]
693,0,55306,[18]
694,0,55361,[42]
695,0,55470,[45]
696,0,55494,[43]
697,0,55635,[37]
698,0,55745,[44]
699,0,55931,[29]
700,0,55960,[33]
701,0,56090,[19]
702,0,56112,[22]
703,0,56249,[31]
704,0,56281,[27]
705,0,56384,[4]
706,0,56398,[18]
707,0,56486,[36]
708,0,56547,[40]
709,0,56578,[7]
710,0,56620,[8]
711,0,56727,[40]
712,0,56757,[27]
713,0,56875,[48]
714,0,57109,[0]
715,0,57157,[34]
716,0,57213,[16]
717,0,57238,[4]
718,0,57341,[7]
719,0,57371,[27]
720,0,57400,[0]
721,0,57443,[7]
722,0,57530,[8]
723,0,57569,[29]
724,0,57594,[27]
725,0,57658,[33]
726,0,57715,[24]
727,0,57838,[46]
728,0,57882,[33]
729,0,58025,[0]
730,0,58210,[0]
731,0,58220,[18]
732,0,58344,[46]
733,0,58374,[7]
734,0,58495,[31]
735,0,58528,[7]
736,0,58584,[42]
737,0,58632,[11]
738,0,58690,[25]
739,0,58842,[21]
740,0,58946,[5]
741,0,59142,[24]
742,0,59220,[41]
743,0,59264,[2]
744,0,59341,[11]
745,0,59368,[7]
746,0,59431,[15]
747,0,59516,[23]
748,0,59531,[16]
749,0,59692,[39]
750,0,59714,[46]
751,0,59760,[35]
752,0,59788,[46]
753,0,59867,[35]
754,0,59993,[14]
755,0,60089,[5]
756,0,60148,[23]
757,0,60167,[27]
758,0,60196,[6]
759,0,60292,[30]
760,0,60328,[47]
761,0,60429,[11]
762,0,60449,[46]
763,0,60494,[41]
764,0,60617,[9]
765,0,60747,[16]
766,0,60771,[29]
767,0,60889,[28]
768,0,60902,[18]
769,0,60950,[4]
770,0,60969,[43]
771,0,61105,[48]
772,0,61259,[38]
773,0,61423,[40]
774,0,61455,[39]
775,0,61478,[21]
776,0,61563,[15]
777,0,61750,[14]
778,0,61778,[46]
779,0,61899,[9]
780,0,62020,[44]
781,0,62035,[23]
782,0,62075,[46]
783,0,62140,[48]
784,0,62349,[0]
785,0,62392,[6]
786,0,62439,[36]
787,0,62491,[25]
788,0,62564,[26]
789,0,62640,[21]
790,0,62695,[5]
791,0,62786,[18]
792,0,62884,[30]
793,0,62955,[27]
794,0,63073,[9]
795,0,63321,[14]
796,0,63371,[32]
797,0,63465,[32]
798,0,63480,[43]
799,0,63509,[37]
800,0,63548,[45]
801,0,63646,[0]
802,0,63698,[15]
803,0,63752,[16]
804,0,63782,[15]
805,0,63869,[16]
806,0,63914,[34]
807,0,63966,[14]
808,0,64001,[37]
809,0,64144,[30]
810,0,64159,[6]
811,0,64239,[42]
812,0,64287,[2]
813,0,64381,[8]
814,0,64414,[47]
815,0,64491,[27]
816,0,64520,[27]
817,0,64684,[43]
818,0,64699,[35]
819,0,64748,[39]
820,0,64891,[40]
821,0,64939,[2]
822,0,65082,[17]
823,0,65106,[26]
824,0,65197,[2]
825,0,65230,[4]
826,0,65306,[19]
827,0,65335,[39]
828,0,65357,[21]
829,0,65519,[24]
830,0,65576,[16]
831,0,65615,[44]
832,0,65676,[35]
833,0,65698,[10]
834,0,65734,[14]
835,0,65815,[3]
836,0,65877,[11]
837,0,65902,[48]
838,0,65915,[18]
839,0,66031,[9]
840,0,66132,[16]
841,0,66187,[45]
842,0,66204,[34]
843,0,66245,[18]
844,0,66384,[11]
845,0,66426,[13]
846,0,66447,[11]
847,0,66577,[23]
848,0,66608,[29]
849,0,66721,[48]
850,0,66764,[22]
851,0,66871,[44]
852,0,66892,[11]
853,0,67001,[4]
854,0,67027,[27]
855,0,67062,[39]
856,0,67086,[7]
857,0,67168,[9]
858,0,67316,[32]
859,0,67336,[35]
860,0,67359,[20]
861,0,67378,[26]
862,0,67412,[23]
863,0,67432,[30]
864,0,67560,[22]
865,0,67672,[23]
866,0,67755,[46]
867,0,67808,[38]
868,0,67822,[47]
869,0,67837,[12]
870,0,67889,[15]
871,0,67934,[18]
872,0,68059,[5]
873,0,68096,[35]
874,0,68161,[9]
875,0,68191,[39]
876,0,68330,[31]
877,0,68348,[13]
878,0,68488,[39]
879,0,68562,[3]
880,0,68645,[14]
881,0,68697,[46]
882,0,68750,[31]
883,0,68791,[4]
884,0,68843,[26]
885,0,68881,[0]
886,0,68955,[6]
887,0,69009,[27]
888,0,69070,[6]
889,0,69090,[5]
890,0,69127,[32]
891,0,69184,[47]
892,0,69236,[24]
893,0,69297,[14]
894,0,69385,[17]
895,0,69501,[12]
896,0,69536,[38]
897,0,69634,[29]
898,0,69827,[21]
899,0,69930,[41]
900,0,69966,[14]
901,0,70018,[28]
902,0,70045,[39]
903,0,70136,[15]
904,0,70447,[9]
905,0,70494,[48]
906,0,70508,[29]
907,0,70573,[17]
908,0,70590,[2]
909,0,70715,[26]
910,0,70786,[45]
911,0,70799,[21]
912,0,70868,[23]
913,0,70981,[29]
914,0,71010,[34]
915,0,71096,[35]
916,0,71153,[21]
917,0,71250,[4]
918,0,71285,[48]
919,0,71363,[42]
920,0,71380,[11]
921,0,71509,[0]
922,0,71620,[28]
923,0,71700,[18]
924,0,71750,[1]
925,0,71884,[0]
926,0,71917,[24]
927,0,72136,[7]
928,0,72169,[33]
929,0,72204,[23]
930,0,72234,[7]
931,0,72293,[15]
932,0,72343,[28]
933,0,72471,[19]
934,0,72507,[19]
935,0,72534,[39]
936,0,72612,[45]
937,0,72688,[39]
938,0,72763,[15]
939,0,72952,[10]
940,0,73027,[35]
941,0,73053,[10]
942,0,73090,[23]
943,0,73153,[30]
944,1,141,[2]
945,1,232,[19]
946,1,278,[11]
947,1,339,[5]
948,1,597,[20]
949,1,621,[7]
950,1,673,[14]
951,1,733,[14]
952,1,771,[16]
953,1,797,[14]
954,1,832,[29]
955,1,892,[32]
956,1,1058,[10]
957,1,1099,[34]
958,1,1189,[14]
959,1,1326,[20]
960,1,1389,[39]
961,1,1448,[23]
962,1,1497,[42]
963,1,1591,[25]
964,1,1626,[36]
965,1,1656,[27]
966,1,1770,[39]
967,1,1908,[14]
968,1,1938,[5]
