,channel,position,unit
662,0,52445,[25]
663,0,52466,[6]
664,0,52532,[21]
665,0,52661,[30]
666,0,52696,[42]
667,0,52760,[1]
668,0,52774,[8]
669,0,52865,[5]
670,0,52902,[31]
671,0,52993,[30]
672,0,53050,[48]
673,0,53133,[24]
674,0,53179,[45]
675,0,53197,[18]
676,0,53212,[43]
677,0,53278,[22]
678,0,53316,[4]
679,0,53404,[12]
680,0,53453,[34]
681,0,53467,[47]
682,0,53568,[48]
683,0,53584,[43]
684,0,53738,[24]
685,0,53767,[12]
686,0,53845,[33]
687,0,53923,[8]
688,0,53957,[5]
689,0,53996,[8]
690,0,54024,[37]
691,0,54046,[42]
692,0,54057,[30]
693,0,54117,[20]
694,0,54141,[9]
695,0,54191,[37]
696,0,54242,[25]
697,0,54278,[37]
698,0,54322,[34]
699,0,54376,[1]
700,0,54408,[9]
701,0,54477,[15]
702,0,54514,[16]
703,0,54544,[12]
704,0,54580,[30]
705,0,54656,[17]
706,0,54666,[30]
707,0,54705,[20]
708,0,54729,[37]
709,0,54782,[28]
710,0,54803,[5]
711,0,54847,[25]
712,0,54940,[20]
713,0,54964,[11]
714,0,54991,[22]
715,0,55082,[21]
716,0,55115,[22]
717,0,55207,[2]
718,0,55256,[21]
719,0,55290,[37]
720,0,55379,[41]
721,0,55475,[37]
722,0,55520,[1]
723,0,55538,[18]
724,0,55624,[32]
725,0,55648,[22]
726,0,55680,[33]
727,0,55753,[11]
728,0,55778,[39]
729,0,55872,[17]
730,0,55886,[21]
731,0,55918,[22]
732,0,55974,[4]
733,0,55986,[13]
734,0,56004,[12]
735,0,56110,[12]
736,0,56169,[34]
737,0,56242,[38]
738,0,56254,[18]
739,0,56278,[6]
740,0,56361,[20]
741,0,56383,[12]
742,0,56400,[6]
743,0,56453,[20]
744,0,56518,[43]
745,0,56575,[4]
746,0,56595,[18]
747,0,56699,[9]
748,0,56732,[25]
749,0,56826,[19]
750,0,56853,[19]
751,0,56874,[22]
752,0,56973,[9]
753,0,57015,[17]
754,0,57078,[20]
755,0,57104,[15]
756,0,57300,[24]
757,0,57339,[25]
758,0,57378,[11]
759,0,57406,[17]
760,0,57457,[37]
761,0,57503,[17]
762,0,57524,[9]
763,0,57566,[4]
764,0,57610,[30]
765,0,57649,[21]
766,0,57708,[8]
767,0,57727,[6]
